BEZEICHNUNG_OFFIZIELL;geopos
Brünig-Hasliberg;46.7577599964,8.13865004866
Fiesch (Talstation 1);46.4050377268,8.13656858684
14 Garage Gondo;46.1955953118,8.13859736751
Villnachern;47.4743648106,8.15763231607
Seon Nord;47.3532280662,8.16027485836
32 PU HW Kleinbus, Kleinteil;46.8318219572,8.15643055874
Tankstelle Giswil;46.831677791,8.15646796064
Dogern;47.6090355285,8.16748922316
Schinznach Bad;47.4517699911,8.16692996901
32 PU SB Trans GmbH, Rickbach;47.226595566,8.16651166726
Leimbach AG;47.2727099926,8.16786000586
Lenzburg;47.3911900327,8.17038002718
Unteraa Kraftwerk;46.8222326115,8.17503623422
28 PU Voegtlin-Meyer Brugg;47.4688861779,8.18776016319
Boniswil Süd;47.3159649984,8.18677986217
Giswil;46.8365299975,8.18631000123
Brugg AG Süd (Abzw);47.471980033,8.20809002572
Hendschiken;47.3894199949,8.20738002302
Giswil Grossmatt;46.8448499834,8.20183997912
Blitzingen;46.4446599811,8.20496996573
Blitzingen Ost;46.447690027,8.20945000402
Koblenz;47.600329965,8.22702001305
Aareschlucht Ost MIB;46.7119999998,8.21789997556
Innertkirchen Unterwasser;46.7080999794,8.22607995868
Sachseln;46.8709600034,8.23830001092
14 PU Seiler Gluringen;46.4670367881,8.23480240725
Sachseln Brüggi;46.8791557843,8.24344434551
28 PU Geissmann Hägglingen;47.3902965586,8.25343770345
32 PU SB Trans GmbH, Hitzkirc;47.2237670735,8.25177023056
Wohlen BDWM-bd;47.3484299878,8.27034994666
Rietheim;47.6007400166,8.27730994121
Emmenbrücke;47.0705899993,8.28255000641
Dättwil;47.4496799984,8.29091998434
Wohlen Touch the Air;47.3434199851,8.30117003556
Boswil (Spw);47.3137600021,8.306920058
Allmend Tunnel;47.0346324647,8.30454981653
Domodossola Aussenkabine;46.1247288387,8.29400636605
Luzern (BLZ);47.0500357317,8.30893105936
Luzern Brünig-Einfahrt (Abzw);47.0416099968,8.30965999474
Domodossola;46.1152929993,8.2962386234
Waldibrücke;47.1078900153,8.31969004355
28 PU Indermühle Rekingen;47.5683596524,8.3316437937
28 PU Steffen Remetschwil;47.4061063344,8.32934611028
Langacher (Spw);47.437489984,8.33307000625
Bremgarten West;47.3455800163,8.3373099587
Killwangen Tägerhardtunnel;47.4440114531,8.34658134842
Killwangen Kreuzlibergtunnel M;47.4326029756,8.34813661372
Killwangen West (Abzw);47.4352900018,8.34964006744
Bibenlos-Sonnenhof;47.3537900106,8.35027001607
Zufikon Hammergut;47.3558999592,8.3545999756
Zufikon;47.3525199629,8.35471002416
Würenlos;47.4457600341,8.35764002476
14 PU Seiler Oberwald;46.5304014853,8.34247862285
Buchrain;47.093640006,8.35663998354
Niederweningen;47.511190005,8.3696099687
RBL E-Gruppe;47.4270899687,8.36999000332
Niederweningen Dorf;47.5059136719,8.38107348471
Obermatt ZB;46.8432770873,8.37289985167
Fangboden;46.8477499926,8.38169997313
Jochpass (Jochstock);46.7773771473,8.38542878306
Dietwil;47.1487408622,8.39203525869
Trübsee (Jochpass Vrb-Bahn);46.790237474,8.38916489848
Sins;47.188300027,8.39781003581
Gerschnialp (Trübsee);46.8126588118,8.3930983458
Dietikon AVA;47.4048700438,8.40534995536
Trübsee (Talst. Kabinenb.);46.7934769492,8.39767065437
Trübsee (Rindertitlis);46.7936640536,8.39895765626
Küssnacht Merlischachen;47.0657204945,8.40820057574
Rotkreuz Südwest;47.1391799641,8.41889001877
Rotkreuz Nordwest;47.1404500221,8.41999999735
Erzingen (Baden);47.6604186795,8.43079080544
Geren Ost (Verzw);46.5318300382,8.42016004061
Steinmaur;47.4899799692,8.44684004922
Hedingen Nord (Spw);47.3073300234,8.44712005086
Affoltern am Albis;47.2760599967,8.44657993002
Druogno;46.1331490571,8.43342355946
Bonstetten Süd (B);47.3178799955,8.46454995626
Tanklager Oberhasli (Gleisend);47.4590899812,8.46750001579
Knonau;47.2202600455,8.46671004789
Zürich Altstetten Farbhof;47.3917499732,8.47945003052
Zürich, Frankental (Wds);47.4051732568,8.48181654551
Steinhausen Rigiblick;47.1878900009,8.479689974
S. Maria Maggiore;46.1365935898,8.46072696595
Bosco/Gurin Grossalp (Rossbd.);46.3156800378,8.46517126351
Bedrettostollen;46.5149561179,8.47211657648
32 PU Thepra AG, Beckenried;46.9636990203,8.48087458067
Zürich-Alt WestLink Plaza;47.392043536,8.49042113781
Zürich Altstetten Unterwerk;47.3918667656,8.49697444822
Zürich Herdern;47.3907200281,8.50140000535
Zürich Schweighof;47.3649800084,8.50304994327
Zürich Affoltern;47.4209100004,8.50855994224
Oberglatt;47.4702000274,8.51060003937
Walchwil Hörndli;47.1084099771,8.50503006941
Zürich, Laubegg (Wds);47.358899061,8.51650785398
Zürich, Laubegg (Vzw);47.3588054196,8.51690309773
42 IA Vedova Campo V Maggia;46.2885605431,8.49621914613
Zürich Lochergut (Abzw);47.3766900322,8.51863005504
Realp;46.5986299829,8.50345999615
Zug West;47.1737069595,8.51503300883
Glattfelden;47.5485500056,8.52402993143
Zürich HB Nord;47.3843499768,8.52345997817
Zürich Wiedikon;47.3714699742,8.52346002816
Zürich Wiedikon, Bf (Vzw Frey);47.3715047642,8.52477358783
Sihlau;47.303150032,8.52524998586
Zürich Ulmbergtunnel;47.3691265597,8.52705545649
Zürich Langstr Dienstgebäude;47.3796715638,8.52772106982
Arth-Goldau Stellwerk;47.0632747236,8.52182085682
Zürich (BLZ);47.3818300998,8.52870547848
Zürich, Wollishofen (Wds);47.3388920972,8.53009079308
Zürich, Selnau (Vzw);47.3734212525,8.53139369024
Zürich Enge, Bf (Vzw Süd);47.363801045,8.53185846229
Zürich Europaallee;47.3787104225,8.5332899219
Zimmerbergtunnel Süd;47.3546781705,8.53299511329
Zürich HB Löwenstrasse West;47.3791124427,8.534529776
Zürich, Löwenplatz (Vzw);47.3759393034,8.53619926136
Zürich Oerlikon Pumpstation;47.4094578112,8.53968578079
Zürich Hirschengrabentunnel Mi;47.3686517916,8.53918718907
Zürich HB Südtrakt;47.3775120655,8.54012497084
Zürich, Milchbuck (Wds);47.3983155773,8.54223754235
Zürich, Milchbuck (Vzw);47.3987173661,8.54255056638
Zürich, Landesmuseum (Vzw);47.3787126658,8.54250701937
Zürich Seebach;47.4187399916,8.5446300287
Zürich, Bellevue (Vzw West);47.3670551131,8.54437078652
Zürich Oerlikon Bahnmeistergeb;47.4129379685,8.54731103231
Zürich Oerlikon Nord (Abzw);47.4157700133,8.54904002014
Zürich Stadelhofen;47.3666100218,8.5484700283
Zürich, Messe/Hallenst. (Vzw);47.4105043708,8.54969852979
Zürich, Rämistrasse (Vzw);47.3746689362,8.54958714341
Arth-Goldau Nordwest;47.0492499676,8.54954995713
Glattbrugg (Df);47.4308258421,8.55884497053
Zürich, Kirche Fluntern (Vzw);47.3757222271,8.55881241617
Zürich Hegibachplatz;47.3616901519,8.56062254234
Jestetten Süd;47.6422800366,8.56662003243
Thalwil West Schaltposten;47.3004428083,8.55953344186
Thalwil Güterschuppen;47.2914233593,8.56385252228
Beringen Bad Bf;47.6949896559,8.57444850956
Zürich Aubrugg;47.4103590732,8.56931995621
32 PU AAGU, Isenthal;46.9107346449,8.56394157175
Küsnacht Goldbach;47.3268500009,8.57594994063
Oberrieden;47.2796699579,8.57845002255
Horgen Oberdorf;47.258739996,8.58980007055
Waldburg;47.3454699575,8.59302002533
Zürich Hagenholztunnel;47.4449292418,8.59547272814
Stettbach, Bahnhof (Wds);47.397150884,8.59511088397
Neuhausen Fischerhölzli Tunnel;47.6767130059,8.60713818718
Winkel am Zürichsee;47.2972000141,8.59897003716
Naxbergtunnel;46.6898115846,8.58779064198
32 PU Mattli Göschenen (AAGU);46.664651599,8.588032016
Göschenen MG Bahn;46.6656199516,8.58856998551
Eggwald (Spw);46.6986800127,8.59390000891
Andermatt;46.6368899684,8.59326999162
Steinen Frauholzstrasse;47.0438583509,8.603022061
Neuhausen SIG Tunnel;47.6797058818,8.617152995
Morschach-Tunnel Brunnen (SZ);46.9913411449,8.61167791109
Neuhausen Grenze DB;47.6937600295,8.62733002103
Rottweil;48.1653008539,8.63929304436
Dübendorf;47.4000700011,8.62340998773
Feldmeilen Wendeanlage;47.2773482379,8.62106382568
Pfaffensprung (Spw);46.7155399611,8.60896999255
Bassersdorf;47.438559982,8.62620005231
Schaffhausen Bad Bf;47.6982819626,8.63272795833
Stutzecktunnel;46.9413102415,8.6190054676
Gurtnellen Schutzstrecke;46.7203913989,8.61593888743
Meilibach (Abzw);47.2511900055,8.62806005716
42 IA Marchetti Valle;46.528736108,8.61489161107
Gruonbach (Spw);46.9151600374,8.62387995177
Flüelen (Df);46.9017351353,8.62429272161
16 PU Steineman Kleinbus AG S;47.7103847808,8.64842135661
Tankstelle PU Steinemann;47.7105210994,8.65087649142
Pfungen;47.5160299653,8.64661002374
Marthalen Nord;47.6350899639,8.6529400121
Rynächt Ueberholgleisanlage;46.8476200156,8.64108996788
Erstfeld Nord (Abzw);46.8260999851,8.64766006838
Hürlistein Ost;47.4216299734,8.66949998553
Effretikon fUW;47.4205073097,8.67627911008
Neuhaus bei Hinteregg;47.3127827085,8.67402974968
Biberegg;47.0933100133,8.66913001259
Schlatt;47.6795000095,8.68749006429
Amsteg Kraftwerk;46.7679463786,8.67137883354
Hinteregg;47.3057299632,8.68433998528
Amsteg Kabelstollen West;46.7665300202,8.67436995542
Samstagern;47.1915400117,8.68597001223
Männedorf;47.2534199575,8.6923299556
Tössmühle Steigbach (Vzw);47.4787263568,8.70652951387
42 IA Marchetti Ambrì;46.5113019615,8.68644459306
Amsteg Kabelstollen Ost;46.7751399903,8.69690994265
Richterswil;47.2083600208,8.70745997027
Winterthur West (Abzw);47.4924500225,8.71729000539
Riedmatt SZ;47.1967500028,8.71201003832
Winterthur Wylandbrücke (Vzw);47.4953502977,8.71965893238
34 PU Lienert & Ehrler Alptha;47.0703705658,8.71534213676
Stäfa;47.2405199963,8.72162993774
Gotthardbasistunnel Nord;46.7557319382,8.71209801957
16 PU Rattin Ossingen;47.6123834136,8.73594386018
Quinto Tre Cappelle;46.5049719835,8.7172002439
Wilen bei Wollerau;47.1975800283,8.73431001934
Fehraltorf Industrie;47.3870000086,8.74679995313
Winterthur Grüze;47.4987547049,8.75105522894
Reutlingen;47.5296499582,8.75213004565
Tankstelle PU Schuler Feusisb;47.1858561941,8.74392379052
Winterthur Grüze Unterwerk;47.499894366,8.75175540704
Uerikon;47.2358499997,8.75261003945
Einsiedeln, Heiwili-Brunnen;47.1295565756,8.75205429305
Rodi-Fiesso;46.4902500257,8.74015995513
Schlattingen;47.6666299922,8.7704099452
Winterthur Seen;47.4874300466,8.7667800209
Oberwinterthur Unterhaltanlage;47.5148000058,8.7678000185
Winterthur Hegi;47.5014854284,8.76894718875
Pfäffikon SZ, Rosenhof;47.1985546485,8.77184818891
Pfäffikon SZ;47.2029900275,8.77810996522
Tuttlingen;47.9805811099,8.7985380633
Sedrun SMF Süd;46.660579991,8.77070000834
Räterschen;47.4986699716,8.79498994585
Wetzikon;47.3180300284,8.79226995621
Uster Nord;47.3290077884,8.79308997265
Faido Sottocentrale;46.487567893,8.77845237359
34 PU Schuler Pfäffikon;47.2011979556,8.80179523702
Etzwilen West (Abzw);47.660569979,8.81534001502
Ranzo-S. Abbondio;46.116990024,8.77653002784
Schottikon;47.5001100253,8.81169996414
Etzwilen Unterwerk;47.6617630383,8.81874247862
Ramsen;47.7074400061,8.82113995722
Faido;46.483070028,8.79070001943
Tscheppa;46.6814080756,8.79574656025
Locarno S. Antonio;46.168874902,8.78630004651
Fornasette, Dogana Italia;45.9948002283,8.78658008838
Altendorf;47.1939600237,8.82289000004
Rapperswil Nordost;47.2254399614,8.82609004848
42 Parcheggio Locarno, FFS;46.1726568113,8.8010274518
Tankstelle Agrola Islikon;47.5465310949,8.84177459833
Stein am Rhein;47.6561099859,8.85500003187
Distributore Eni, Minusio;46.1782438367,8.81660557739
42 IA Malcant Sessa;45.9981292917,8.81555251102
Rüti ZH West (Abzw);47.2615100044,8.85005001345
Lavorgo Schutzstrecke;46.451939987,8.83078596695
Lachen;47.1900699914,8.85269003759
Galleria Roca Bella;46.1804231821,8.83693101364
Distributore BP ViraGambarogno;46.1441646592,8.84349556804
38 PU Furger Disentis;46.7044535444,8.8586501919
42 Parcheggio Tenero, S. d'Oro;46.1797544748,8.84730149382
Distributore Oel Pool, Tenero;46.1807495775,8.84974932344
Disentis/Mustér Pardomat Barri;46.7085099989,8.8683000444
Galleria Travi;46.4217816977,8.86483982829
Frauenfeld FW Bahn;47.5574299887,8.89590004309
Mammern;47.6441600133,8.91397998335
Distributore Socar, Caslano;45.9769424565,8.87451872058
Gibswil;47.313709987,8.91548997379
Wald Kühweid-Tunnel;47.2803142046,8.91749103907
42 IA Chiesa Riazzino;46.1751789977,8.88831946812
Cancorì (Alpe di Nara);46.4608060136,8.89711322864
34 Garage Innerthal;47.1052694054,8.91848186113
Steg;47.3538500357,8.93235997179
Gotthardbasistunnel Ost;46.3722590663,8.92729561283
Radolfzell;47.7358692673,8.9689812269
Monte Ceneri Nord;46.1442299956,8.92575999462
Pollegio Nord (dira);46.3679999949,8.93215995979
Molincero Galleria Sud;46.0777710335,8.92455257238
Mezzovico;46.0942799769,8.92858998748
42 IA Capriasca Taverne;46.0593977346,8.93005263821
Massagno Nord;46.0176600046,8.93264993916
Pollegio binario di sorpasso;46.3594000346,8.95109002671
34 Garage Uznach gross;47.2207320599,8.98049074979
Lugano FLP;46.0044899845,8.94759999285
Melide Centrale (bif);45.9652100331,8.94761996491
Reichenburg;47.1726900463,8.98230003411
Lugano Paradiso (c bin);45.9891199838,8.95095995838
Tankstelle Garage Reichenburg;47.17047868,8.98593146236
Al Sasso;46.1466100036,8.95781995697
Comano, Posta;46.0356673159,8.95533168406
San Martino Galleria Sud;45.9799809923,8.95560356023
Galleria San Martino;45.980209611,8.95599705976
Biasca binario di sorpasso;46.3556172485,8.96892852431
42 Extern Autolinee Bleniesi;46.3577164153,8.97026729266
Canobbio, Scuola Media;46.031272834,8.96294728814
Hüttenberg (Grotzenbüel);46.9390433911,8.99082581286
Bissone (B);45.9440700305,8.96554002358
42 IA Capriasca Tesserete;46.064297916,8.96986656493
Frequenzumformerwerk Biasca;46.3343883197,8.97918980406
S. Antonino (dira);46.1614400194,8.97665006603
Osogna Fabbricato tecnico;46.321166737,8.98347710161
42 Parcheggio Ma-Me, Stazione;45.9322886786,8.97388291972
42 Parcheggio Mendrisio, OSC;45.862911471,8.97580144255
42 Parcheggio Mendrisio, Staz;45.8685178059,8.9783414736
Mendrisio;45.8691199832,8.97861005446
Osogna-Cresciano;46.2992699494,8.99414004526
Gommiswald, OZG-Schulhaus;47.232883495,9.02243288719
Coldrerio Galleria;45.8670103882,8.9848785612
Bilten, Schulhaus;47.1507438673,9.02250778614
Bilten;47.1521900402,9.02989998271
Giubiasco centr commutaz frequ;46.175397921,9.00195799156
Wil Süd (Abzw);47.4522999846,9.04335005265
Rufibach;47.1770200074,9.03533996981
Chiasso Smistamento;45.836519955,8.99908006481
38 Garage Bellinzona (Chur);46.1889921689,9.01245862823
Balerna Sottocentrale;45.8476817397,9.00327116723
42 Garage Bellinzona;46.1933445565,9.01391884276
42 IA Bellinzona Marchetti;46.1935105611,9.01427345523
Schänis;47.1576500126,9.04395996809
Galleria Balerna;45.8467932526,9.00697925909
36 PU PAUT Krinau;47.3168108233,9.05095964555
Schänis, Schulhaus Chastli;47.1618462354,9.0516054769
Distributore Amsa, Balerna;45.8410345133,9.01856722997
Cresciano Ca d'Ossola;46.2400050246,9.0324710148
Pianezzo, Scuole;46.1685837754,9.03051166517
Pianezzo, Bivio Paudo;46.1696958953,9.03657230017
Bellinzona S. Paolo;46.2036000254,9.03847003567
Bellinzona Nord (bif);46.2123799718,9.04004997404
Bütschwil;47.3595899944,9.07513000035
Castione Impianto d'inversione;46.2282000297,9.0411900351
Scuola elementare, Lattecaldo;45.8617668089,9.0307571371
Bütschwil Süd;47.5200865747,9.08044954946
Näfels-Mollis;47.0987199813,9.0699400528
Arbedo, Bivio Polveriera;46.2188824592,9.04438029814
Tankstelle Grob Kies Lichtens;47.3210544784,9.08240372679
34 PU Niederer GL Unt Allmein;47.0356790466,9.07415630618
42 IA Valle Muggio Muggio;45.9008091696,9.04378839678
Weinfelden Süd;47.5627000133,9.09509005566
16 Extern Thur-Taxi Weinfelden;47.5675658996,9.09750904802
16 Garage Weinfelden;47.5689325414,9.0979224698
Weesen, Rest. Bahnhof;47.1331763588,9.0950654027
Wattwil, Ulisbach;47.2862964364,9.10092751698
36 PU PAUT Oberhelfenschwil;47.3542586591,9.11371646444
38 PU Fontana MeierhofSportbu;46.7494747674,9.09859066005
38 Garage Regie Vrin;46.6556830241,9.09927476033
Uzwil Süd;47.4414750364,9.12395741865
Uzwil;47.4364400087,9.13097004041
Kerenzerbergtunnel;47.1250194288,9.12162731195
38 PU Fontana Andiast;46.7832502777,9.11161598351
Tankstelle Agrola Brunnadern;47.3371867233,9.13076841646
Kehlhof West;47.5679299821,9.13985998031
Tägermoos (Abzw);47.6569999911,9.14962999348
Tankstelle Tamoil Kreuzlingen;47.6509123894,9.16544103333
Wolzenalp;47.2287181613,9.15323685077
Kreuzlingen;47.6525600064,9.16906000588
16 Garage Kreuzlingen;47.6523426312,9.16906888404
Siegershausen;47.6109199909,9.16822998486
Kehlhof;47.5721899721,9.16976002218
Tankstelle Neukirch a. d. Thu;47.5120356049,9.17035455582
Konstanz Grenze (Abzw);47.6543899595,9.17681003452
Berg;47.5822500067,9.17449993779
Kreuzlingen Hafen Grenze;47.6544500229,9.17691997913
36 PU PAUT Hemberg;47.2966930141,9.17439418008
Tankstelle Keller Hemberg;47.2989842817,9.17518286614
Sulgen;47.5387999864,9.18366995519
Grono, Posta;46.2477382369,9.14617770255
Tankstelle PU TPM Grono;46.2458359612,9.14890178901
Flawil;47.4151899524,9.18975993721
38 Garage Regie Degen;46.7072618498,9.16913913429
Mühlehorn Stutztunnel;47.1157681125,9.18272747874
Schnaus-Strada;46.7745400162,9.17694994974
Kradolf;47.524720021,9.20155001141
Crap Masegn (Treis Palas);46.8420650228,9.18003404268
Tiefenwinkel (Verzw);47.115710008,9.18900997289
Bottighofen;47.640709979,9.213069998
38 Garage Regie Suraua;46.6987978662,9.18428657501
Burgau Deponie ZAB (Agl);47.4074199745,9.2148300369
38 PU TPM SA San Bernardino;46.4623585844,9.1892762841
Murg West;47.1132276113,9.21116456204
Erlen Stadler Rail;47.5545929905,9.23339235229
Crap Sogn Gion (Curnius);46.8343714508,9.21573532791
Bischofszell Stadt;47.4921399574,9.24145993386
Arnegg;47.4420000156,9.25199997613
Plaun (Nagens);46.8453669904,9.23298887012
Gossau SG;47.4118300054,9.25302999099
Curnius (Larnags);46.8204472897,9.23331186874
Castrisch;46.7784899684,9.23307997948
Altnau;47.621370037,9.26588999579
Gossau SG neues Unterwerk;47.4115415575,9.26392975453
38 PU Stuppan Laax;46.8114701151,9.26253542183
Mols;47.1129900169,9.27679995801
Tankstelle Agrola Urnäsch;47.3197054348,9.2867673687
Amriswil Felwis;47.5466296476,9.29571851651
Sulzbrunn;47.3423699636,9.2916200239
Amriswil;47.5504500163,9.30220997654
Prodalp (Prodkamm);47.0801981905,9.28821717141
St. Gallen Winkeln;47.4039300263,9.30083998494
Uttwil;47.5860199868,9.33967996631
Gonten;47.3283800037,9.3477299897
Blacktenboden (Tanatzhöhi);46.5403015783,9.32213516955
Häggenschwil-Winden;47.5038600113,9.35870993802
36 Garage Wildhaus Chuchitobe;47.2048564517,9.35082770906
Gstalden;47.3977023252,9.3632947921
St. Gallen, Bahnhofpärkli;47.4243598233,9.37139094657
Romanshorn;47.5655300345,9.37936004331
St. Gallen Marktplatz;47.4263899968,9.3763800085
St. Gallen, Sonnenstrasse;47.4312949615,9.38434465114
Bruggwaldtunnel (Abzw);47.4458000217,9.3972699939
Tankstelle Garage Appenzell;47.3388377662,9.39735618882
36 PU Eurobus AG, Arbon;47.5075151521,9.41542533672
Arbon Seemoosriet;47.5215200119,9.42428996065
Quadra;46.7408764133,9.40442860607
Eggli;47.3634750666,9.43498182945
38 Garage Chiavenna;46.318702511,9.40581600043
Horn Allmend;47.4949525336,9.462699517
Horn;47.4931800241,9.46336995115
Trogen Gleisende;47.4076900078,9.46190001012
Goldach;47.4738000345,9.46699003265
36 PU Haas Eggerstanden Publi;47.3336139581,9.46212714507
Hebrig;47.3621500401,9.4647099683
Thusis;46.6981999733,9.44050000631
38 Extern Taxi Elsa, Thusis;46.7046834103,9.44098778059
Trübbach;47.0715800089,9.48032995821
Rorschach Ost (Abzw);47.4781899927,9.51346001612
Friedrichshafen Flughafen;47.6722123818,9.52370966894
Weite;47.0914700028,9.50159996759
Alter Zoll;47.3685399505,9.52207994777
36 PU Mösli Heiden;47.4471536252,9.52810463273
Vaduz, Schlössle;47.1466944747,9.51748604138
Wartensee;47.471799996,9.53357993275
Tankstelle GAS Vaduz;47.1254927663,9.52049431178
Wienacht-Tobel;47.4662099815,9.54062998037
Chur Transit;46.8502736383,9.5209857329
38 Garage Chur (Davos);46.8539023188,9.52613491241
Chur;46.8530799858,9.52892994987
Chur [Gleis 10-14];46.8539233572,9.52907591596
Chur Wiesental;46.8619000284,9.53145003085
Tgantieni (Piz Scalottas);46.7220231865,9.53047998114
Altstätten SG;47.3742300385,9.55651006468
38 Garage Lenzerheide;46.7278662205,9.53459145723
Tankstelle PU Dünser Trimmis;46.9056350827,9.55696302293
38 PU Dünser Trimmis;46.9056350827,9.55696302293
Zizers;46.9348399542,9.55959004444
Ruderbach;47.4615344475,9.59529074875
Walzenhausen;47.4517400349,9.60125994607
Tiefencastel;46.6638799915,9.57285994461
Parsonz Tigignas (Somtgant);46.5941623919,9.57107853868
Rheineck Ost;47.4584504538,9.61391122523
38 PU Boss Hemmi, Tiefencaste;46.6612191701,9.58304397432
38 PU Reptrans AG Salouf SB;46.6163651797,9.58178712107
St. Margrethen;47.4532099942,9.63824999866
Lüen-Castiel;46.8317100325,9.61333994988
